commentId,postId,message,created_time,likeCount,text_clean,text_len,created_dt
1388234836112529_779770371117504,809004609121697_1388234836112529,"Buổi workshop chia sẻ những vấn để rất thực tế, cảm ơn khoa và nhà trường đã tạo điều kiện để học viên có thể gặp các chuyên gia và trao đổi về những kiến thức thế này 😊😊😊",2025-08-26T14:18:01.000Z,0,"buổi workshop chia sẻ những vấn để rất thực tế, cảm ơn khoa và nhà trường đã tạo điều kiện để học viên có thể gặp các chuyên gia và trao đổi về những kiến thức thế này :pos_emo: :pos_emo: :pos_emo:",197,2025-08-26 14:18:01+00:00
1387119536224059_2221352375050597,809004609121697_1387119536224059,Thật tự hào! Học viện Ngân hàng tôi yêu,2025-08-25T08:40:59.000Z,0,thật tự hào! học viện ngân hàng tôi yêu,39,2025-08-25 08:40:59+00:00
1387119536224059_1484500792577790,809004609121697_1387119536224059,Tuyệt quá ạa 🔥🔥🔥,2025-08-25T07:05:35.000Z,0,tuyệt quá ạa 🔥🔥,15,2025-08-25 07:05:35+00:00
1387119536224059_2581803242200980,809004609121697_1387119536224059,Mãi mãi một niềm tự hào dân tộc🫡,2025-08-25T09:00:35.000Z,0,mãi mãi một niềm tự hào dân tộc🫡,32,2025-08-25 09:00:35+00:00
1387119536224059_24808987372042119,809004609121697_1387119536224059,Khoa này cháy quá ạ 🔥🔥🔥,2025-08-25T07:21:44.000Z,0,khoa này cháy quá ạ 🔥🔥,22,2025-08-25 07:21:44+00:00
1384603799808966_1614873132806805,809004609121697_1384603799808966,Quỳnh NgaMinh NhưNgoc Linhmay mà thi năm ngoái,2025-08-22T09:54:26.000Z,0,quỳnh ngaminh nhưngoc linhmay mà thi năm ngoái,46,2025-08-22 09:54:26+00:00
1383912176544795_1316325953567826,809004609121697_1383912176544795,Chương trình rất thú vị và hấp dẫn. Cảm ơn thầy cô đã tạo điều kiện cho chúng em có cơ hội giao lưu và học hỏi ạ.,2025-08-22T05:52:45.000Z,0,chương trình rất thú vị và hấp dẫn. cảm ơn thầy cô đã tạo điều kiện cho chúng em có cơ hội giao lưu và học hỏi ạ.,113,2025-08-22 05:52:45+00:00
1383912176544795_1295905605236763,809004609121697_1383912176544795,Cảm ơn khoa và công ty SAP đã tổ chức buổi chia sẻ ý nghĩa ạ.,2025-08-22T05:57:20.000Z,0,cảm ơn khoa và công ty sap đã tổ chức buổi chia sẻ ý nghĩa ạ.,61,2025-08-22 05:57:20+00:00
1383912176544795_1823078411612822,809004609121697_1383912176544795,"Buổi chia sẻ rất ý nghĩa, cảm ơn khoa đã tổ chức những buổi chia sẻ thế này ạ",2025-08-22T05:55:27.000Z,0,"buổi chia sẻ rất ý nghĩa, cảm ơn khoa đã tổ chức những buổi chia sẻ thế này ạ",77,2025-08-22 05:55:27+00:00
1380056396930373_1462917844905227,809004609121697_1380056396930373,Tuổi trẻ ITDE tuyệt vời 🔥🔥🔥,2025-08-17T02:56:54.000Z,0,tuổi trẻ itde tuyệt vời 🔥🔥,26,2025-08-17 02:56:54+00:00
1380056396930373_1282670070264576,809004609121697_1380056396930373,Khánh Ly em bé này năng nổ quá,2025-08-17T09:18:18.000Z,0,khánh ly em bé này năng nổ quá,30,2025-08-17 09:18:18+00:00
1380056396930373_1292887285686388,809004609121697_1380056396930373,Tự hào quá ạ❤️❤️,2025-08-17T02:55:51.000Z,0,tự hào quá ạ :love: :love:,26,2025-08-17 02:55:51+00:00
1380056396930373_1425983555276666,809004609121697_1380056396930373,Khánh Ly tự hào quá con,2025-08-17T10:18:59.000Z,0,khánh ly tự hào quá con,23,2025-08-17 10:18:59+00:00
1367567838179229_1745332916369694,809004609121697_1367567838179229,Đẹp quá ạaa,2025-08-02T14:41:46.000Z,0,đẹp quá ạaa,11,2025-08-02 14:41:46+00:00
1357435629192450_1124178966197757,809004609121697_1357435629192450,Đã thêm ITDE vào wish list 😻💗,2025-07-21T13:23:58.000Z,0,đã thêm itde vào wish list 😻💗,29,2025-07-21 13:23:58+00:00
1357435629192450_1259224069084662,809004609121697_1357435629192450,Sắp qua hết trạm rồi ạaa🥰,2025-07-21T13:49:31.000Z,0,sắp qua hết trạm rồi ạaa🥰,25,2025-07-21 13:49:31+00:00
1357435629192450_1797833790807298,809004609121697_1357435629192450,Nguyện vọng 1 đây rùiiii,2025-07-21T13:27:25.000Z,0,nguyện vọng 1 đây rùii,22,2025-07-21 13:27:25+00:00
1357435629192450_749082390945815,809004609121697_1357435629192450,Lên tàu ITDE thôi,2025-07-21T13:25:16.000Z,0,lên tàu itde thôi,17,2025-07-21 13:25:16+00:00
1357435629192450_1046182397716903,809004609121697_1357435629192450,Khoa chờ em lên tàu với ✨✨✨,2025-07-21T13:23:56.000Z,0,khoa chờ em lên tàu với ✨✨,26,2025-07-21 13:23:56+00:00
1357435629192450_1884859932292978,809004609121697_1357435629192450,Đã thêm vào giỏ hàng 🛒,2025-07-21T13:24:58.000Z,0,đã thêm vào giỏ hàng 🛒,22,2025-07-21 13:24:58+00:00
1357435629192450_716098067956814,809004609121697_1357435629192450,Đã đi qua gần hết các trạm rồi ạ 😍,2025-07-21T13:23:19.000Z,0,đã đi qua gần hết các trạm rồi ạ :love:,39,2025-07-21 13:23:19+00:00
1357435629192450_3183908938438232,809004609121697_1357435629192450,Pham Van Anh đi gần hết các trạm rồi thấy sao,2025-07-21T13:22:04.000Z,0,pham van anh đi gần hết các trạm rồi thấy sao,45,2025-07-21 13:22:04+00:00
1357435629192450_1133091348637759,809004609121697_1357435629192450,Jirawan Hồng Anh bé thấy sao về chuyến tàu này,2025-07-21T13:23:00.000Z,1,jirawan hồng anh bé thấy sao về chuyến tàu này,46,2025-07-21 13:23:00+00:00
1357435629192450_1477657986923297,809004609121697_1357435629192450,Trang Xuân mình gặp ở trạm mấy z,2025-07-21T13:26:09.000Z,2,trang xuân mình gặp ở trạm mấy z,32,2025-07-21 13:26:09+00:00
1354112299524783_1284875636376808,809004609121697_1354112299524783,e xin vía làm k28 itde ạ,2025-07-17T11:02:53.000Z,0,e xin vía làm k28 itde ạ,24,2025-07-17 11:02:53+00:00
1350133293256017_3687330588227642,809004609121697_1350133293256017,Phạm Minh Hoàn làm tí đi e,2025-07-12T13:07:51.000Z,2,phạm minh hoàn làm tí đi e,26,2025-07-12 13:07:51+00:00
1350133293256017_741462938241670,809004609121697_1350133293256017,Mình đăng kí hộ các bạn rồi Nguyễn Linh Chi Đạt Nguyễn Hoàng Phúc Thanh Hoài. Chuẩn bị tâm hồn đẹp để thi thôi 🥰👌,2025-07-12T13:23:36.000Z,2,mình đăng kí hộ các bạn rồi nguyễn linh chi đạt nguyễn hoàng phúc thanh hoài. chuẩn bị tâm hồn đẹp để thi thôi 🥰👌,113,2025-07-12 13:23:36+00:00
1350133293256017_750749030723450,809004609121697_1350133293256017,Hoài Thu kìa,2025-07-12T13:09:21.000Z,0,hoài thu kìa,12,2025-07-12 13:09:21+00:00
1350133293256017_2768084360064605,809004609121697_1350133293256017,wow,2025-07-12T17:36:14.000Z,0,wow,3,2025-07-12 17:36:14+00:00
1350133293256017_1538177344232121,809004609121697_1350133293256017,Game on,2025-07-12T13:21:30.000Z,0,game on,7,2025-07-12 13:21:30+00:00
1341573570778656_2102655760260933,809004609121697_1341573570778656,@fan cứng,2025-07-02T09:57:01.000Z,0,cứng,4,2025-07-02 09:57:01+00:00
1329006425368704_1492023168823765,809004609121697_1329006425368704,Thầy cô cho e xin định hương nghề nghiệp ngành hệ thống thông tin quản lý với ạ,2025-06-17T12:27:32.000Z,0,thầy cô cho e xin định hương nghề nghiệp ngành hệ thống thông tin quản lý với ạ,79,2025-06-17 12:27:32+00:00
